benchmark,run,result
function_call,baseline,timeout
function_call,licm,timeout
dead-branch,baseline,1196
dead-branch,licm,901
n_root,baseline,733
n_root,licm,733
cordic,baseline,517
cordic,licm,468
norm,baseline,505
norm,licm,505
newton,baseline,217
newton,licm,217
euler,baseline,1908
euler,licm,1856
riemann,baseline,298
riemann,licm,291
mandelbrot,baseline,2720947
mandelbrot,licm,2683566
sqrt,baseline,322
sqrt,licm,282
pow,baseline,36
pow,licm,33
leibniz,baseline,12499997
leibniz,licm,9500003
ray-sphere-intersection,baseline,142
ray-sphere-intersection,licm,142
conjugate-gradient,baseline,1999
conjugate-gradient,licm,1975
primes-between,baseline,574100
primes-between,licm,452977
up-arrow,baseline,252
up-arrow,licm,234
gcd,baseline,46
gcd,licm,46
sum-check,baseline,5018
sum-check,licm,5018
bitshift,baseline,167
bitshift,licm,167
perfect,baseline,232
perfect,licm,232
ackermann,baseline,1464231
ackermann,licm,1464231
quadratic,baseline,785
quadratic,licm,577
reverse,baseline,46
reverse,licm,timeout
catalan,baseline,659378
catalan,licm,659378
rectangles-area-difference,baseline,14
rectangles-area-difference,licm,14
pythagorean_triple,baseline,61518
pythagorean_triple,licm,54015
armstrong,baseline,133
armstrong,licm,133
is-decreasing,baseline,127
is-decreasing,licm,incorrect
sum-divisors,baseline,159
sum-divisors,licm,159
check-primes,baseline,8468
check-primes,licm,7091
orders,baseline,5352
orders,licm,4928
mod_inv,baseline,558
mod_inv,licm,486
pascals-row,baseline,146
pascals-row,licm,125
lcm,baseline,2326
lcm,licm,2071
sum-bits,baseline,73
sum-bits,licm,73
relative-primes,baseline,1923
relative-primes,licm,1839
collatz,baseline,169
collatz,licm,169
totient,baseline,253
totient,licm,253
palindrome,baseline,298
palindrome,licm,298
birthday,baseline,484
birthday,licm,399
digital-root,baseline,247
digital-root,licm,247
binary-fmt,baseline,100
binary-fmt,licm,100
loopfact,baseline,116
loopfact,licm,101
sum-sq-diff,baseline,3038
sum-sq-diff,licm,2640
hanoi,baseline,99
hanoi,licm,99
recfact,baseline,104
recfact,licm,104
euclid,baseline,563
euclid,licm,544
fact,baseline,229
fact,licm,229
factors,baseline,72
factors,licm,77
fitsinside,baseline,10
fitsinside,licm,10
bitwise-ops,baseline,1690
bitwise-ops,licm,1690
fizz-buzz,baseline,3652
fizz-buzz,licm,2929
mat-inv,baseline,1044
mat-inv,licm,1044
cholesky,baseline,3761
cholesky,licm,3556
dot-product,baseline,88
dot-product,licm,88
csrmv,baseline,121202
csrmv,licm,121202
sieve,baseline,3482
sieve,licm,3383
mat-mul,baseline,1990407
mat-mul,licm,incorrect
max-subarray,baseline,193
max-subarray,licm,193
fib,baseline,121
fib,licm,121
primitive-root,baseline,11029
primitive-root,licm,11029
vsmul,baseline,86036
vsmul,licm,24611
quicksort,baseline,264
quicksort,licm,264
adler32,baseline,6851
adler32,licm,6851
eight-queens,baseline,1006454
eight-queens,licm,incorrect
quickselect,baseline,279
quickselect,licm,279
bubblesort,baseline,253
bubblesort,licm,253
quicksort-hoare,baseline,27333
quicksort-hoare,licm,incorrect
two-sum,baseline,98
two-sum,licm,incorrect
adj2csr,baseline,56629
adj2csr,licm,55637
major-elm,baseline,47
major-elm,licm,47
binary-search,baseline,78
binary-search,licm,78
